2026-01-15 16:22:35.911 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:22:36.104 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:22:36.578 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:22:36.579 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:22:43.124 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-24 炉体检测螺纹底板.SLDDRW
2026-01-15 16:22:43.138 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-24 炉体检测螺纹底板.SLDDRW
2026-01-15 16:22:57.332 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-24 炉体检测螺纹底板 - 图纸1
2026-01-15 16:23:00.850 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 2 个视图使用图纸比例
2026-01-15 16:23:00.851 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:23:00.852 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:23:00.999 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:23:01.943 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:23:01.958 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
